INSERT into jadwal (id_jadwal, tanggal) VALUES
('5916','2024-10-29'),
('9931','2020-03-25'),
('8897','2022-08-04'),
('0082','2021-01-02'),
('3451','2022-04-15'),
('7856','2018-03-17'),
('7883','2025-08-19'),
('7684','2018-08-09'),
('0218','2019-12-18'),
('3130','2017-02-02'),
('4673','2017-06-14'),
('6718','2023-01-31'),
('5949','2019-04-16'),
('5913','2025-06-06'),
('1139','2025-01-15'),
('0173','2019-10-22'),
('5235','2018-08-31'),
('2489','2018-12-23'),
('9047','2020-05-16'),
('4495','2018-11-12'),
('1227','2020-01-20'),
('9097','2024-07-14'),
('9476','2018-06-01'),
('2664','2016-09-16'),
('1265','2021-10-29'),
('3168','2021-03-22'),
('6520','2020-03-08'),
('4252','2019-11-14'),
('8913','2016-09-23'),
('0189','2022-06-07'),
('9143','2022-08-01'),
('9314','2018-02-05'),
('9591','2020-02-07'),
('9436','2018-01-06'),
('5464','2022-12-17'),
('6977','2017-04-11'),
('1249','2016-02-10'),
('9862','2025-09-09'),
('8189','2020-09-05'),
('2054','2016-05-13'),
('2494','2021-12-25'),
('6612','2021-05-09'),
('1258','2018-12-01'),
('8155','2021-05-22'),
('6870','2023-10-08'),
('1937','2022-05-10'),
('3766','2019-08-27'),
('8103','2023-07-28'),
('0532','2022-06-30'),
('6341','2017-11-29'),
('8049','2016-03-27'),
('6933','2025-02-08'),
('0942','2018-11-08'),
('1117','2018-04-15'),
('3460','2022-05-29'),
('0293','2023-03-03'),
('7833','2016-09-19'),
('7938','2019-12-06'),
('9522','2019-04-02'),
('7662','2024-03-04'),
('1043','2019-11-11'),
('2851','2020-03-07'),
('0528','2021-04-22'),
('6297','2019-05-25'),
('6102','2025-03-30'),
('6970','2022-11-28'),
('5771','2023-07-13'),
('8084','2024-10-31'),
('1469','2023-01-26'),
('0966','2021-01-26'),
('7936','2018-11-03'),
('6391','2018-02-17'),
('5849','2025-03-09'),
('7023','2018-02-24'),
('5566','2024-06-14'),
('2526','2025-06-23'),
('9529','2017-11-25'),
('0357','2024-05-22'),
('8423','2020-03-29'),
('0681','2020-12-03'),
('1477','2025-02-10'),
('0685','2025-06-24'),
('2425','2023-06-28'),
('0940','2018-02-24'),
('7273','2017-03-26'),
('3892','2021-11-25'),
('7350','2017-04-02'),
('2768','2023-08-19'),
('4793','2018-04-12'),
('8236','2024-07-22'),
('7577','2023-09-02'),
('0504','2023-04-26'),
('5665','2016-02-18'),
('2490','2021-01-01'),
('8704','2024-12-14'),
('8993','2021-04-23'),
('3879','2016-03-22'),
('2677','2019-12-29'),
('6507','2016-03-04'),
('0948','2024-06-12'),
('0075','2017-05-30'),
('0534','2022-07-21'),
('3216','2024-02-25'),
('4486','2020-03-19'),
('2828','2020-11-06'),
('4043','2024-03-05'),
('0525','2025-03-01'),
('3682','2019-06-10'),
('5432','2023-12-07'),
('7962','2020-10-05'),
('5805','2021-09-26'),
('5101','2025-02-04'),
('5478','2022-06-04'),
('5924','2019-05-25'),
('3662','2025-11-10'),
('0905','2018-03-20'),
('9944','2020-07-25'),
('3478','2016-10-07'),
('7279','2023-09-27'),
('7774','2024-07-06'),
('8295','2022-11-03'),
('1432','2024-07-03'),
('1879','2022-06-23'),
('3893','2025-07-29'),
('5054','2023-01-11'),
('1479','2016-07-27'),
('5036','2019-08-03'),
('8722','2017-01-10'),
('5696','2016-11-14'),
('8429','2017-09-04'),
('3031','2018-11-18'),
('4511','2017-10-31'),
('5059','2023-09-06'),
('9884','2018-01-31'),
('4648','2024-03-19'),
('5642','2025-07-25'),
('1925','2016-11-20'),
('9343','2019-08-26'),
('9452','2022-03-14'),
('3090','2016-06-06'),
('1854','2022-06-26'),
('2401','2025-02-23'),
('0536','2018-09-26'),
('3204','2018-08-19'),
('7234','2018-02-14'),
('4776','2020-05-05'),
('7735','2018-04-17'),
('3546','2016-06-03'),
('6751','2017-07-21'),
('2210','2025-03-22'),
('0880','2018-12-24'),
('4169','2025-08-19'),
('4250','2018-07-28'),
('2315','2018-09-07'),
('6848','2024-03-21'),
('1810','2021-01-27'),
('6266','2016-09-14'),
('3781','2017-05-10'),
('9171','2018-08-31'),
('5506','2016-03-31'),
('5986','2016-02-27'),
('3940','2023-04-21'),
('1575','2019-11-13'),
('9094','2017-09-13'),
('1425','2021-06-28'),
('6036','2024-08-28'),
('9288','2024-10-19'),
('4885','2025-02-18'),
('6630','2022-08-01'),
('3323','2018-02-15'),
('6688','2024-08-21'),
('8418','2016-07-24'),
('3358','2025-12-26'),
('7565','2020-01-12'),
('5264','2025-10-23'),
('0338','2020-03-28'),
('1835','2024-10-20'),
('9217','2017-01-13'),
('8700','2023-11-12'),
('3113','2023-03-31'),
('3923','2021-12-29'),
('0013','2023-07-13'),
('3338','2021-06-30'),
('8022','2023-12-16'),
('7200','2022-05-11'),
('6521','2021-05-29'),
('0089','2022-10-28'),
('1770','2020-07-06'),
('4099','2018-12-19'),
('5252','2016-01-08'),
('7582','2017-01-08'),
('9687','2019-10-12'),
('4747','2021-08-23'),
('8396','2024-05-27'),
('6640','2018-06-11'),
('9517','2021-08-27'),
('7568','2018-07-17'),
('7531','2016-06-13'),
('8289','2017-07-15'),
('7233','2024-07-10'),
('4228','2023-07-18'),
('7719','2021-04-12'),
('3066','2021-10-29'),
('0167','2020-07-08'),
('8015','2019-07-25'),
('4876','2022-03-02'),
('5299','2019-07-09'),
('5168','2017-05-30'),
('5972','2025-12-21'),
('5911','2019-03-02'),
('9913','2017-02-12'),
('0862','2016-11-22'),
('7953','2024-08-13'),
('2238','2016-02-26'),
('3027','2017-05-05'),
('5494','2020-08-13'),
('2524','2022-02-18'),
('9040','2023-04-23'),
('2383','2016-04-27'),
('6928','2018-05-06'),
('2196','2024-08-28'),
('5553','2019-08-25'),
('6733','2016-12-26'),
('7949','2024-09-29'),
('2676','2024-12-10'),
('9304','2024-03-29'),
('8718','2021-03-12'),
('1674','2025-02-28'),
('7266','2018-01-16'),
('1649','2023-07-30'),
('6682','2020-03-29'),
('5114','2021-07-25'),
('3872','2018-09-05'),
('4243','2017-07-06'),
('7920','2017-09-30'),
('0729','2018-06-19'),
('6661','2023-01-25'),
('0915','2025-06-24'),
('0007','2019-10-17'),
('5445','2024-01-24'),
('0765','2025-08-15'),
('3355','2025-08-02'),
('6130','2025-05-11'),
('5993','2024-07-11'),
('6258','2025-10-11'),
('8769','2017-09-23'),
('3548','2018-08-31'),
('0221','2016-03-28'),
('8506','2025-09-10'),
('3452','2021-11-26'),
('8543','2018-07-26'),
('4650','2021-06-28'),
('1174','2020-05-06'),
('5799','2022-02-07'),
('7976','2019-08-25'),
('2087','2018-11-17'),
('8633','2018-10-27'),
('6443','2019-04-14'),
('8956','2017-06-03'),
('1323','2023-03-29'),
('4646','2023-01-09'),
('9902','2016-03-03'),
('8748','2022-08-10'),
('9823','2023-10-09'),
('4857','2023-10-24'),
('9484','2019-08-29'),
('4921','2024-02-08'),
('7038','2022-10-26'),
('0150','2017-01-15'),
('7069','2020-04-20'),
('7961','2019-01-26'),
('4712','2024-01-03'),
('9808','2019-11-11'),
('9106','2023-12-30'),
('7643','2021-09-07'),
('2629','2024-11-25'),
('0383','2020-08-21'),
('6756','2017-11-11'),
('2303','2025-04-01'),
('1717','2017-12-21'),
('9379','2017-05-16'),
('0620','2025-10-15'),
('0840','2018-12-13'),
('8887','2017-04-12'),
('5345','2021-11-14'),
('9574','2022-10-15'),
('2076','2022-01-19'),
('7686','2016-10-08'),
('7278','2024-03-24'),
('0807','2022-03-17'),
('9127','2018-11-17'),
('3154','2023-09-17'),
('4877','2018-09-02'),
('4210','2021-04-30'),
('2256','2025-03-19'),
('0427','2020-09-14'),
('9654','2018-04-19'),
('8707','2019-02-06'),
('5287','2020-07-19'),
('9636','2018-12-25'),
('4366','2017-12-20'),
('6960','2022-06-11'),
('7966','2018-01-06'),
('2688','2020-05-16'),
('7107','2024-03-09'),
('0978','2023-11-14'),
('9999','2025-07-02'),
('8514','2021-12-13'),
('4540','2021-08-04'),
('4490','2025-09-25'),
('4055','2019-12-21'),
('6113','2022-10-05'),
('9017','2017-12-14'),
('9550','2024-04-04'),
('3041','2019-07-24'),
('4874','2025-08-18'),
('8220','2023-07-13'),
('6635','2023-06-10'),
('0372','2019-07-30'),
('8391','2023-02-06'),
('7042','2017-01-10'),
('9798','2022-12-02'),
('5859','2018-03-03'),
('8896','2019-08-08'),
('4388','2019-03-12'),
('4154','2024-06-12'),
('8333','2024-09-08'),
('2977','2025-07-07'),
('4325','2024-04-25'),
('3104','2023-12-21'),
('8349','2017-03-25'),
('3377','2023-05-26'),
('1809','2021-12-02'),
('4241','2021-04-30'),
('4926','2020-12-13'),
('5793','2022-10-03'),
('0140','2025-09-24'),
('8475','2016-06-26'),
('8010','2022-11-27'),
('4423','2022-01-11'),
('0439','2022-10-13'),
('4345','2024-06-22'),
('6878','2016-03-07'),
('2901','2017-05-07'),
('7576','2023-12-15'),
('6022','2017-05-07'),
('3378','2020-03-29'),
('5040','2020-06-02'),
('5626','2020-08-07'),
('2407','2023-08-05'),
('4481','2018-04-25'),
('4555','2017-12-02'),
('3003','2024-04-04'),
('5203','2023-10-12'),
('6215','2016-01-31'),
('0362','2023-03-18'),
('1395','2023-08-26'),
('3685','2024-09-10'),
('3396','2016-04-25'),
('3542','2019-10-31'),
('6728','2025-03-16'),
('0294','2018-06-13'),
('3256','2025-08-02'),
('6122','2023-10-26'),
('2133','2022-07-01'),
('1031','2017-05-08'),
('2541','2019-09-11'),
('7373','2020-04-11'),
('1725','2016-10-05'),
('5704','2025-11-29'),
('5760','2017-06-21'),
('7251','2020-11-30'),
('2390','2023-10-14'),
('0485','2022-11-26'),
('3189','2022-07-10'),
('7098','2021-03-18'),
('1062','2024-11-18'),
('0151','2024-04-13'),
('6400','2017-06-19'),
('5185','2023-03-02'),
('9071','2016-10-20'),
('2097','2023-03-30'),
('8541','2018-08-18'),
('0276','2022-09-02'),
('9394','2016-05-24'),
('9043','2018-09-21'),
('6568','2024-04-10'),
('0257','2017-08-15'),
('9966','2024-03-05'),
('8743','2018-07-26'),
('2690','2018-01-20'),
('1904','2022-03-28'),
('7512','2025-09-22'),
('2709','2021-04-12'),
('1996','2025-10-13'),
('7813','2024-01-08'),
('5909','2025-12-04'),
('1461','2018-11-03'),
('9405','2021-01-23'),
('1768','2020-09-15'),
('8359','2020-04-21'),
('5180','2020-11-15'),
('0348','2022-06-02'),
('1451','2023-10-09'),
('7625','2022-09-02'),
('2529','2023-03-27'),
('8817','2017-07-05'),
('8824','2024-03-31'),
('4053','2019-07-22'),
('7476','2019-04-25'),
('7547','2016-06-11'),
('0100','2018-09-11'),
('7262','2024-08-01'),
('0857','2020-04-04'),
('1183','2025-10-18'),
('9013','2025-07-26'),
('9661','2016-06-19'),
('8409','2016-08-15'),
('4750','2018-12-06'),
('8403','2016-05-11'),
('8698','2016-06-21'),
('4651','2023-02-20'),
('8714','2021-05-22'),
('5046','2017-06-28'),
('0350','2025-03-14'),
('0560','2020-01-18'),
('7819','2018-02-10'),
('3508','2021-12-07'),
('7997','2022-08-05'),
('0861','2017-08-08'),
('0870','2024-05-04'),
('8092','2019-07-10'),
('9690','2020-03-11'),
('4769','2025-03-11'),
('2932','2020-06-17'),
('8233','2020-02-24'),
('9530','2016-02-29'),
('9811','2016-11-07'),
('5165','2018-03-22'),
('1343','2017-03-14'),
('9850','2024-09-05'),
('1866','2016-02-27'),
('1627','2016-05-11'),
('6377','2023-03-28'),
('0073','2019-07-09'),
('3269','2016-12-15'),
('9709','2024-04-07'),
('5919','2017-08-26'),
('2622','2021-12-19'),
('2873','2023-12-14'),
('2399','2024-01-12'),
('0868','2016-11-21'),
('5854','2023-09-07'),
('1547','2016-09-17'),
('6789','2016-09-24'),
('8942','2022-10-04'),
('8377','2020-08-30'),
('4463','2025-02-09'),
('7887','2017-07-26'),
('8062','2020-01-16'),
('1560','2025-08-14'),
('8708','2019-08-14'),
('3631','2023-06-15'),
('3329','2016-06-29'),
('1359','2017-02-16'),
('3434','2022-11-03'),
('2386','2024-03-15'),
('6782','2018-10-29'),
('9993','2021-01-23'),
('0724','2017-09-21'),
('5271','2021-12-21'),
('0053','2023-10-13'),
('5996','2021-05-03'),
('5795','2024-04-26'),
('8421','2017-04-29'),
('6499','2019-03-07'),
('6007','2021-01-14'),
('3458','2024-02-04'),
('5082','2025-08-23'),
('6450','2022-03-30'),
('5499','2016-12-08'),
('0499','2019-03-20'),
('7213','2016-05-31'),
('0057','2021-09-12'),
('2948','2025-05-06'),
('1805','2022-02-28'),
('4692','2017-12-26'),
('4922','2016-07-24'),
('0451','2018-01-30'),
('2402','2018-10-16'),
('4475','2021-08-31'),
('3464','2021-07-06'),
('8795','2025-06-04'),
('6155','2023-03-06'),
('3807','2019-08-13'),
('9638','2016-07-26'),
('4234','2025-06-26'),
('5763','2019-08-15'),
('6164','2018-07-22'),
('0187','2025-04-15'),
('2600','2016-11-06'),
('9602','2016-09-03'),
('8760','2017-02-27'),
('7533','2016-10-10'),
('0004','2024-03-27'),
('5153','2020-12-22'),
('3516','2023-05-20'),
('9968','2017-02-14'),
('1416','2018-09-27'),
('5306','2018-05-17'),
('5532','2023-08-24'),
('4418','2023-11-22'),
('8884','2017-08-10'),
('3902','2016-11-11'),
('8405','2022-11-21'),
('7130','2016-01-30'),
('4175','2024-06-28'),
('5044','2024-07-18'),
('4713','2024-01-06'),
('1542','2019-08-29'),
('8623','2025-11-18'),
('6869','2021-01-12'),
('3120','2019-08-21'),
('3535','2021-05-28'),
('2203','2017-07-08'),
('1565','2018-11-27'),
('6825','2019-03-25'),
('0976','2017-03-16'),
('5247','2017-06-29'),
('9736','2022-01-06'),
('8398','2021-05-02'),
('8125','2022-07-24'),
('1832','2019-07-08'),
('0747','2025-10-03'),
('1665','2019-11-24'),
('8960','2021-03-22'),
('5672','2023-01-12'),
('4584','2024-11-28'),
('4629','2024-08-20'),
('2397','2020-08-30'),
('9222','2023-07-09'),
('2945','2018-11-13'),
('2222','2019-03-04'),
('8286','2018-09-05'),
('3950','2019-01-15'),
('1680','2024-08-09'),
('8091','2016-12-25'),
('9766','2017-12-16'),
('3811','2025-09-11'),
('6587','2020-09-29'),
('9540','2022-08-20'),
('3564','2019-12-03'),
('9580','2022-10-27'),
('0935','2018-05-26'),
('4470','2024-02-28'),
('9840','2017-12-29'),
('7229','2021-04-10'),
('5214','2017-02-23'),
('5155','2020-09-23'),
('4759','2023-11-20'),
('7623','2018-01-09'),
('7937','2023-11-09'),
('5276','2019-01-09'),
('6248','2021-12-27'),
('3945','2016-01-11'),
('3587','2018-09-02'),
('9497','2023-04-05'),
('8834','2017-01-03'),
('7999','2017-03-16'),
('1007','2022-03-02'),
('7228','2023-06-25'),
('3012','2022-01-04'),
('6127','2025-10-15'),
('8432','2025-10-14'),
('3993','2021-11-10'),
('9137','2016-09-19'),
('2769','2017-08-29'),
('2599','2016-05-09'),
('3771','2024-05-27'),
('4723','2025-10-27'),
('6687','2021-03-17'),
('3331','2024-09-18'),
('8225','2024-05-13'),
('5081','2019-02-04'),
('7621','2017-11-12'),
('9216','2024-05-19'),
('6894','2025-07-07'),
('8941','2017-05-24'),
('7786','2021-12-06'),
('7195','2016-05-27'),
('3696','2017-04-07'),
